id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink	True Positive	False Positive	isClean
1.07027883112931E+017	jaxchaplain	â€œReceiving a call from the Diabetes Associationâ€: http:// hopeisinheaven.blogspot.com/2011/08/receiv ing-call-from-diabetes.html â€¦	8/26/2011	0	0				https://twitter.com/jaxchaplain/status/107027883112931328	0	1	-1
2.40971349651226E+017	duhlel	@Diabetic _Person I always knew you had a thing for me, Poosh, don't hide it. Text me now!!! I want to hear all about this type of yours	8/29/2012	0	0	@Diabetic			https://twitter.com/duhlel/status/240971349651226624	0	1	-1
2.5636193205814E+017	topix_va	Classes help manage diabetes - http:// bit.ly/QkW1rR #Onley #Virginia	10/11/2012	0	0		#Onley #Virginia		https://twitter.com/topix_va/status/256361932058140672	1	0	1
5.04328271136563E+017	Kobi_Kizarr	See here, there are two types of diabetes , one you get from the fetus and the other from the notion of feed us.	8/26/2014	0	0				https://twitter.com/Kobi_Kizarr/status/504328271136563200	1	0	1
4.24042948691365E+017	Jas_MineB	I will forever hate diabetes .	1/16/2014	0	0				https://twitter.com/Jas_MineB/status/424042948691365889	1	0	1
5.22832904666095E+017	Hunterinsuranc1	@aaronecarroll @nickmartin and obesity, religion & diabetes	10/16/2014	0	0	@aaronecarroll @nickmartin			https://twitter.com/Hunterinsuranc1/status/522832904666095618	1	0	1
5.14215331171405E+017	Gretchylee	"@BigBang_CBS WTF?? ""...one of those chubsters had an insulin pump"" I'm going to have to sic @darthskeptic on you! #diabetes"	9/22/2014	0	0	@BigBang_CBS @darthskeptic	#diabetes		https://twitter.com/Gretchylee/status/514215331171405825	1	0	1
3.49656174695677E+017	Diabetes_Shears	Lmao you think that scares me? ;P	6/25/2013	0	0				https://twitter.com/Diabetes_Shears/status/349656174695677953	0	1	-1
1.76566730661953E+017	3745	Diabetes Support Group Meeting in Claremont New Hampshire http:// bit.ly/y2gPLK via http:// outside.in/03745	3/5/2012	0	0				https://twitter.com/03745/status/176566730661953536	1	0	1
5.47101081873162E+017	DJ_Diabetes	Did some shit last night	12/22/2014	0	1				https://twitter.com/DJ_Diabetes/status/547101081873162240	0	1	-1
3.77334642673606E+017	ClackCo_FireMed	DIABETIC PROBLEM | 235 W ARLINGTON ST | 00:30:55	9/10/2013	0	0				https://twitter.com/ClackCo_FireMed/status/377334642673606656	1	0	1
4.03202478801702E+017	ChefTimineri	Chef Art Smith on How to Survive Thanksgiving with Diabetes http://www. thedailymeal.com/chef-art-smith -how-survive-thanksgiving-diabetes/111913 â€¦ via @thedailymeal @ChefArtSmith	11/20/2013	2	1	@thedailymeal @ChefArtSmith			https://twitter.com/ChefTimineri/status/403202478801702912	1	0	1
3.02121304558022E+017	fooIsgoldstyIes	My friends are trying to give me diabetes . pic.twitter.com/FEhbKH29	2/14/2013	0	1				https://twitter.com/fooIsgoldstyIes/status/302121304558022657	0	1	-1
4.34495368147922E+017	WarDamnBray	Shoutout to @Savannah_src and @Buckeye013 for being freakin adorable together! Be careful reading their tweets though, may get diabetes !	2/14/2014	2	3	@Savannah_src @Buckeye013			https://twitter.com/WarDamnBray/status/434495368147922944	0	1	-1
4.07236041356345E+017	DJ_Diabetes	If someone were to get me a nice scarf for Christmas I wouldn't be mad	12/1/2013	0	1				https://twitter.com/DJ_Diabetes/status/407236041356345345	0	1	-1
4.97109576178851E+016	Lolrrenzo	diabetes ftl..	3/21/2011	0	0				https://twitter.com/Lolrrenzo/status/49710957617885184	1	0	1
4.87322336061046E+017	Diabetes_Shears	 @kalen_laplace : Today's just another day to fake a smile and say I'm ok	7/10/2014	0	0	@kalen_laplace			https://twitter.com/Diabetes_Shears/status/487322336061046786	0	1	-1
4.50775239966744E+017	tu_tiger100	 @TuskegeeUniv : Auburn and Tuskegee Universities Team Up to Help Fight Diabetes - http://www. wltz.com/story/25120623 /auburn-and-tuskegee-universities-team-up-with-eamc-to-help-tuskegee-residents-fight-diabetes#.Uzn3KvGmst8.twitter â€¦  TEAMWORK	3/31/2014	0	0	@TuskegeeUniv	#		https://twitter.com/tu_tiger100/status/450775239966744576	1	0	1
2.89247315032698E+017	apantazi	Full disclaimer on that last tweet: I have diabetes , which means I have a compromised immune system. Please get a flu shot.	1/10/2013	0	0				https://twitter.com/apantazi/status/289247315032698881	1	0	1
4.12464621383925E+016	maryannw38	@roccodispirito also very good for diabetic diets	2/25/2011	0	0	@roccodispirito			https://twitter.com/maryannw38/status/41246462138392576	1	0	1
5.44951137947115E+017	SGonzo71	Jay Mohr do you or anyone you know, know that Jay Cutler Has The Diabetes ? S/ Wilferd Brimley @jaymohr37 #jaymohrsports	12/16/2014	0	1	@jaymohr37	#jaymohrsports		https://twitter.com/SGonzo71/status/544951137947115521	1	0	1
1.41354884682358E+017	20814	Tell Diabetes â€œNOT MEâ€ This Winter and Holiday Season http:// bit.ly/uj0txb via http:// outside.in/20814	11/28/2011	0	0				https://twitter.com/20814/status/141354884682358784	1	0	1
4.97467497788882E+017	mckennerz13	I wish my boss actually understood my diabetic problems	8/7/2014	0	0				https://twitter.com/mckennerz13/status/497467497788882945	1	0	1
2.52577502839595E+017	_gabriellems	@shanicexoxo5 LMAO your gonna get get diabetes	9/30/2012	0	1	@shanicexoxo5			https://twitter.com/_gabriellems/status/252577502839595009	1	0	1
5.41405091581149E+017	Coopus63	@Dj_ diabetic lol it's gonna happen	12/6/2014	0	0	@Dj_			https://twitter.com/Coopus63/status/541405091581149184	1	0	1
4.61497958291095E+017	kittykat_kiki	@SailorAstera They are showing you a video loop. The diabetic clinic does the same thing using diabetes info clips. Gets old real fast.	4/30/2014	0	0	@SailorAstera			https://twitter.com/kittykat_kiki/status/461497958291095552	1	0	1
3.16627203913809E+017	KikN_FlAvE_	@Diabetic _D ppl wid dat shit shuud have to were a bracelet or sum to identify	3/26/2013	0	0	@Diabetic			https://twitter.com/KikN_FlAvE_/status/316627203913809920	0	1	-1
