id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink	True Positive	False Positive	isClean	Reason for False Positive
1.71803E+17	sabybaby155	@Turrenccy @mertom5 candy gives you cancer	2/20/2012	0	0	@Turrenccy @mertom5			https://twitter.com/sabybaby155/status/171802558522863616	1	0	1	
2.31559E+17	michelley19x	#First20SongsOnShuffle Cancer - My Chemical Romance	8/3/2012	0	0		#First20SongsOnShuffle		https://twitter.com/michelley19x/status/231559357781917696	0	1	-1	Song Reference
3.48933E+17	Bama2k16	“ @CancerAreUs : #Cancer 's are creative.”RT	6/23/2013	0	0	@CancerAreUs	#Cancer		https://twitter.com/Bama2k16/status/348932582207008769	0	1	-1	Horoscope
4.3052E+17	kwondabear	Met my new coworker and she tells me she has cancer and doesn't have much life left. She's 17.. Tells me I have a beautiful soul. I cried.	2/3/2014	0	9				https://twitter.com/kwondabear/status/430519550291886080	1	0	1	
4.59544E+17	larryjl77	My old room from the first time I was here #stjoseph#Cancer pic.twitter.com/unOOcE9Oaf	4/25/2014	0	0		#stjoseph #Cancer		https://twitter.com/larryjl77/status/459544271146606592	1	0	1	
3.46332E+17	henryrussaw	•Rape •Period •Abuses •Abortion •Pregnancy •Harassment •Breast cancer •Being walked on •Being cheated on Females go through a lot.. Respect	6/16/2013	0	1				https://twitter.com/henryrussaw/status/346331858902056960	0	1	-1	Not Specific to Cancer
3.25349E+17	Hungryhund	Here with Jeff Kennedy doing video stuff for the Cancer Relay Races. http:// 4sq.com/Z9u1OD	4/19/2013	0	0				https://twitter.com/Hungryhund/status/325348686949392384	1	0	1	
3.98626E+17	jayhinz	"What I know for sure: cancer sucks, @Mama_Aubs is way more in shape than me, and I'm going to be sore tomorrow #kickitforcancer"	11/7/2013	0	1	@Mama_Aubs	#kickitforcancer		https://twitter.com/jayhinz/status/398625820802961408	1	0	1	
9.87971E+15	24083	Fund helps woman on rebound from cancer http://bit.ly/gXYWdI via http://outside.in/24083	12/1/2010	0	0				https://twitter.com/24083/status/9879705192763392	1	0	1	
2.2904E+17	IRA_Darth_Aggie	What? Really? #LeSigh RT @TAMUequipment BTHO Breast Cancer ! http:// p.twimg.com/Ay2yCRqCIAApsR h.jpg …	7/27/2012	0	0	@TAMUequipment	#LeSigh		https://twitter.com/IRA_Darth_Aggie/status/229039828514258944	1	0	1	
1.37013E+17	kaeLkae	"its all because im a #Cancer , we are complicated individualds ."	11/16/2011	0	0		#Cancer		https://twitter.com/kaeLkae/status/137012539644063746	0	1	-1	Horoscope
3.39634E+17	JSmoove715	" @BestofCancer : #Cancer has an outlook on life that is supportive, caring, and positive."	5/29/2013	0	0	@BestofCancer	#Cancer		https://twitter.com/JSmoove715/status/339634094570885120	0	1	-1	Horoscope
18336291959	16828	"In Centre Hall, cancer survivors relay for a cure http://bit.ly/9PKBwv via http://outside.in/16828"	7/12/2010	0	0				https://twitter.com/16828/status/18336291959	1	0	1	
5.27582E+17	Si_Cave	Researchers genetically engineered stem cells to make and secrete toxins that kill cancerous brain cells pic.twitter.com/TxHlTJnTkJ	10/29/2014	0	4				https://twitter.com/Si_Cave/status/527581680916512768	1	0	1	
8.12208E+16	PauljGarth	Jay Leno is literally made out of cancer .	6/16/2011	1	1				https://twitter.com/PauljGarth/status/81220810932617216	0	1	-1	Offensive Term
1.54921E+16	digitalopsguy	just posted a pic: (@HA Dermatology and Skin Cancer Center) http://picplz.com/zG4b	12/16/2010	0	0	@HA			https://twitter.com/digitalopsguy/status/15492061859946496	0	1	-1	Not Specific to Cancer
